nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,label
0.014277,0.002839,0.315553,0.002557,-0.002077,0.315239,0.012195,-0.002306,0.317268,0.001563,-0.006592,0.287237,-0.000428,-0.004414,0.294268,-0.007202,-0.037297,0.210775,-0.006831,-0.027259,0.205822,0
0.006328,0.003973,0.346143,-0.005397,-0.003653,0.340489,0.003405,-0.000547,0.347205,-0.004558,-0.007785,0.293613,-0.005566,-0.001483,0.322939,-0.000766,-0.040835,0.20328,-0.000654,-0.029944,0.237139,0
-0.002818,0.004287,0.379715,-0.010919,-0.004287,0.372232,-0.004032,0.000743,0.382644,-0.009936,-0.009663,0.310667,-0.008811,0.001417,0.357202,0.000158,-0.044552,0.209037,0.00396,-0.034484,0.259596,0
-0.00839,-0.000749,0.401151,-0.014664,-0.006616,0.393773,-0.007789,0.00044,0.406738,-0.013274,-0.010302,0.323616,-0.010453,0.002203,0.381357,-0.000276,-0.045938,0.200914,0.006969,-0.034136,0.286121,0
-0.01023,-0.002503,0.389595,-0.016608,-0.008825,0.378928,-0.008423,0.000361,0.396662,-0.013919,-0.012228,0.29167,-0.010422,0.002432,0.374048,0.000188,-0.048244,0.161317,0.011766,-0.03219,0.291701,0
-0.00864,-0.000558,0.354413,-0.016281,-0.008895,0.344237,-0.008195,0.006217,0.362083,-0.014833,-0.014878,0.272504,-0.010517,0.006633,0.355463,0.00255,-0.049304,0.148889,0.018854,-0.027268,0.29683,0
-0.00776,-0.000332,0.348332,-0.016122,-0.009735,0.337729,-0.008438,0.007408,0.356321,-0.016326,-0.018966,0.26289,-0.010546,0.008231,0.349461,0.005105,-0.049613,0.133996,0.022876,-0.022386,0.292092,0
-0.009208,-0.006098,0.348553,-0.016669,-0.013941,0.338109,-0.008937,0.00153,0.356286,-0.015623,-0.020406,0.261656,-0.009943,0.006146,0.3451,0.006701,-0.049418,0.135327,0.0229,-0.020055,0.26549,0
-0.010058,-0.005977,0.34686,-0.016999,-0.012586,0.33748,-0.009448,-3.7e-05,0.353595,-0.015347,-0.017064,0.271889,-0.009909,0.004913,0.347654,0.007638,-0.049764,0.145805,0.021455,-0.020036,0.261068,0
-0.004936,-0.001864,0.358807,-0.01384,-0.008715,0.348393,-0.006844,0.003753,0.362664,-0.015137,-0.015649,0.279564,-0.009606,0.006297,0.347926,0.008078,-0.0499,0.158757,0.021146,-0.019568,0.261004,0
