nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,label
0.404562,0.523356,-0.817023,0.450303,0.470896,-0.772597,0.380715,0.473767,-0.767002,0.491284,0.498469,-0.456614,0.372269,0.496885,-0.42082,0.600585,0.752914,-0.22398,0.279256,0.769921,-0.2556,0
0.402325,0.523209,-0.789469,0.448622,0.469779,-0.75211,0.379799,0.473439,-0.742238,0.490316,0.497649,-0.448912,0.37169,0.497168,-0.397758,0.602049,0.752435,-0.219079,0.282615,0.770746,-0.236007,0
0.400233,0.522083,-0.747133,0.447162,0.467761,-0.710191,0.379218,0.47146,-0.701236,0.489838,0.496231,-0.428449,0.371593,0.496373,-0.373022,0.60394,0.749489,-0.195132,0.285328,0.768973,-0.234228,0
0.397302,0.518908,-0.72758,0.445607,0.465902,-0.691133,0.378575,0.468612,-0.682115,0.489556,0.495072,-0.415625,0.371551,0.494833,-0.360428,0.604342,0.747757,-0.183416,0.286031,0.768584,-0.245346,0
0.391991,0.519373,-0.715793,0.440421,0.466093,-0.683202,0.377158,0.468667,-0.669362,0.487963,0.495139,-0.414386,0.371823,0.494613,-0.343317,0.604731,0.748099,-0.189271,0.286594,0.768068,-0.22867,0
0.385318,0.524543,-0.69625,0.433701,0.472746,-0.667551,0.37386,0.473074,-0.650471,0.48475,0.497845,-0.418892,0.371996,0.495306,-0.325672,0.605239,0.74874,-0.214074,0.287045,0.766012,-0.212643,0
0.385018,0.527847,-0.719887,0.433772,0.476767,-0.694316,0.373484,0.475267,-0.673142,0.484471,0.500198,-0.444045,0.372128,0.495828,-0.338237,0.605261,0.749737,-0.222864,0.286903,0.765615,-0.212678,0
0.384525,0.528233,-0.721198,0.433337,0.477235,-0.693785,0.373288,0.475496,-0.674396,0.484091,0.500615,-0.442394,0.372373,0.495738,-0.340523,0.605064,0.750193,-0.219816,0.287157,0.762692,-0.2182,0
0.383048,0.526786,-0.680841,0.431985,0.476592,-0.653874,0.372306,0.474965,-0.634252,0.483558,0.500642,-0.412616,0.372157,0.495452,-0.310574,0.599976,0.746822,-0.207413,0.287296,0.753785,-0.199236,0
0.382401,0.52552,-0.676309,0.431251,0.475911,-0.648062,0.371581,0.473937,-0.630613,0.483044,0.500858,-0.405893,0.371196,0.494993,-0.307198,0.597772,0.748625,-0.210687,0.286947,0.749979,-0.192056,0
0.382279,0.524589,-0.704355,0.431066,0.475507,-0.668794,0.371085,0.473472,-0.655182,0.482689,0.50088,-0.411379,0.36998,0.494905,-0.330057,0.597329,0.751172,-0.220637,0.283748,0.753938,-0.213299,0
0.381793,0.524103,-0.710239,0.430518,0.475435,-0.677295,0.37011,0.473309,-0.661366,0.482164,0.501078,-0.417734,0.368842,0.494919,-0.334915,0.596356,0.75287,-0.221214,0.28148,0.755661,-0.214485,0
0.381733,0.524071,-0.735063,0.43051,0.475594,-0.700111,0.369802,0.473652,-0.68624,0.481982,0.501313,-0.425902,0.368228,0.495556,-0.352706,0.595771,0.749634,-0.218412,0.281183,0.759316,-0.222763,0
0.382062,0.524825,-0.7058,0.431025,0.475916,-0.674296,0.369927,0.47424,-0.659818,0.481904,0.501422,-0.41678,0.368413,0.495967,-0.339276,0.598463,0.748048,-0.216324,0.282561,0.759134,-0.223125,0
0.392563,0.525669,-0.728968,0.44213,0.47505,-0.693978,0.373588,0.474107,-0.684375,0.485625,0.501119,-0.419247,0.368907,0.496184,-0.358965,0.6027,0.747302,-0.196733,0.285113,0.763296,-0.231856,0
0.406222,0.526146,-0.778269,0.454081,0.473767,-0.737518,0.380373,0.474111,-0.734101,0.491885,0.500409,-0.431329,0.371734,0.496258,-0.401357,0.60595,0.745232,-0.182163,0.287534,0.765026,-0.258071,0
0.435972,0.528153,-0.812867,0.474538,0.477448,-0.765992,0.401891,0.477683,-0.768791,0.50572,0.501916,-0.435457,0.377516,0.498112,-0.435164,0.607553,0.743662,-0.183616,0.289355,0.766003,-0.273194,0
0.449128,0.527827,-0.80368,0.483199,0.47829,-0.756859,0.414077,0.478244,-0.761831,0.51382,0.50248,-0.426128,0.383836,0.498628,-0.438394,0.608361,0.743284,-0.171302,0.290771,0.764726,-0.2842,0
0.45269,0.529269,-0.843187,0.485081,0.48111,-0.791211,0.415836,0.480104,-0.8024,0.515314,0.504021,-0.435742,0.384649,0.499977,-0.476018,0.608946,0.746989,-0.182291,0.288328,0.768953,-0.30862,0
0.453969,0.532454,-0.891656,0.485728,0.485913,-0.841035,0.41764,0.482814,-0.853628,0.515303,0.506362,-0.483035,0.385246,0.501339,-0.53255,0.605899,0.748541,-0.217816,0.280842,0.769047,-0.349434,0
0.4534,0.533326,-0.81889,0.48521,0.487246,-0.762961,0.417193,0.484069,-0.777356,0.512295,0.506999,-0.410425,0.384645,0.501985,-0.468141,0.600715,0.751446,-0.160166,0.276323,0.769704,-0.311363,0
0.449673,0.534162,-0.861675,0.482522,0.489064,-0.80563,0.414097,0.485839,-0.818618,0.50834,0.508511,-0.441968,0.382632,0.503298,-0.494538,0.597323,0.757186,-0.187217,0.269384,0.770852,-0.320967,0
0.442924,0.5334,-0.79989,0.476513,0.48822,-0.74999,0.406746,0.484141,-0.758364,0.499178,0.508635,-0.410817,0.376243,0.502187,-0.440112,0.587217,0.755508,-0.170271,0.265636,0.755118,-0.275438,0
0.435428,0.533703,-0.810694,0.470261,0.489486,-0.762483,0.399658,0.484754,-0.765393,0.492794,0.509329,-0.427278,0.370421,0.502833,-0.443841,0.579564,0.754436,-0.196424,0.259107,0.751315,-0.257714,0
0.430435,0.537536,-0.836504,0.466021,0.492364,-0.79181,0.394448,0.488697,-0.795373,0.489736,0.510312,-0.450555,0.366519,0.504425,-0.460401,0.579047,0.753251,-0.211717,0.256122,0.752338,-0.267264,0
0.430763,0.542119,-0.845822,0.466021,0.494763,-0.799638,0.394572,0.494409,-0.807438,0.490058,0.510953,-0.454018,0.36608,0.508387,-0.479246,0.58409,0.753052,-0.191051,0.259078,0.764967,-0.298084,0
0.431385,0.540096,-0.806074,0.466156,0.491477,-0.759779,0.395639,0.493744,-0.76631,0.491817,0.509462,-0.424587,0.367792,0.508448,-0.443947,0.593683,0.749944,-0.176442,0.267266,0.767794,-0.280472,0
